group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
verify Fischlin,G2,,,,4620555.0,ns,1
verify Fischlin,G2,,,,9220171.0,ns,2
verify Fischlin,G2,,,,13763841.0,ns,3
verify Fischlin,G2,,,,18790853.0,ns,4
verify Fischlin,G2,,,,23078833.0,ns,5
verify Fischlin,G2,,,,28040762.0,ns,6
verify Fischlin,G2,,,,32269990.0,ns,7
verify Fischlin,G2,,,,36965298.0,ns,8
verify Fischlin,G2,,,,42525593.0,ns,9
verify Fischlin,G2,,,,47113648.0,ns,10
verify Fischlin,G2,,,,51004905.0,ns,11
verify Fischlin,G2,,,,55304388.0,ns,12
verify Fischlin,G2,,,,60373228.0,ns,13
verify Fischlin,G2,,,,65323716.0,ns,14
verify Fischlin,G2,,,,70409496.0,ns,15
verify Fischlin,G2,,,,74076377.0,ns,16
verify Fischlin,G2,,,,79224519.0,ns,17
verify Fischlin,G2,,,,83074529.0,ns,18
verify Fischlin,G2,,,,88166573.0,ns,19
verify Fischlin,G2,,,,92595319.0,ns,20
verify Fischlin,G2,,,,97532922.0,ns,21
verify Fischlin,G2,,,,101648475.0,ns,22
verify Fischlin,G2,,,,106083900.0,ns,23
verify Fischlin,G2,,,,111415036.0,ns,24
verify Fischlin,G2,,,,115479014.0,ns,25
verify Fischlin,G2,,,,120653323.0,ns,26
verify Fischlin,G2,,,,124804354.0,ns,27
verify Fischlin,G2,,,,129656064.0,ns,28
verify Fischlin,G2,,,,134397017.0,ns,29
verify Fischlin,G2,,,,138901024.0,ns,30
verify Fischlin,G2,,,,144446876.0,ns,31
verify Fischlin,G2,,,,148082571.0,ns,32
verify Fischlin,G2,,,,152115973.0,ns,33
verify Fischlin,G2,,,,157919289.0,ns,34
verify Fischlin,G2,,,,162492815.0,ns,35
verify Fischlin,G2,,,,166480094.0,ns,36
verify Fischlin,G2,,,,172039704.0,ns,37
verify Fischlin,G2,,,,177372072.0,ns,38
verify Fischlin,G2,,,,180400424.0,ns,39
verify Fischlin,G2,,,,184763066.0,ns,40
verify Fischlin,G2,,,,189822067.0,ns,41
verify Fischlin,G2,,,,195092953.0,ns,42
verify Fischlin,G2,,,,198744811.0,ns,43
verify Fischlin,G2,,,,203270156.0,ns,44
verify Fischlin,G2,,,,207860062.0,ns,45
verify Fischlin,G2,,,,213354098.0,ns,46
verify Fischlin,G2,,,,217803833.0,ns,47
verify Fischlin,G2,,,,222891618.0,ns,48
verify Fischlin,G2,,,,227514749.0,ns,49
verify Fischlin,G2,,,,232273769.0,ns,50
verify Fischlin,G2,,,,236059051.0,ns,51
verify Fischlin,G2,,,,240844346.0,ns,52
verify Fischlin,G2,,,,244975740.0,ns,53
verify Fischlin,G2,,,,250608284.0,ns,54
verify Fischlin,G2,,,,254585960.0,ns,55
verify Fischlin,G2,,,,260763223.0,ns,56
verify Fischlin,G2,,,,263977935.0,ns,57
verify Fischlin,G2,,,,269319343.0,ns,58
verify Fischlin,G2,,,,273219168.0,ns,59
verify Fischlin,G2,,,,278148968.0,ns,60
verify Fischlin,G2,,,,282539861.0,ns,61
verify Fischlin,G2,,,,289162275.0,ns,62
verify Fischlin,G2,,,,291090072.0,ns,63
verify Fischlin,G2,,,,296137143.0,ns,64
verify Fischlin,G2,,,,301329600.0,ns,65
verify Fischlin,G2,,,,305221179.0,ns,66
verify Fischlin,G2,,,,309813816.0,ns,67
verify Fischlin,G2,,,,314545001.0,ns,68
verify Fischlin,G2,,,,319382746.0,ns,69
verify Fischlin,G2,,,,325094853.0,ns,70
verify Fischlin,G2,,,,329846998.0,ns,71
verify Fischlin,G2,,,,333859650.0,ns,72
verify Fischlin,G2,,,,337537795.0,ns,73
verify Fischlin,G2,,,,342385283.0,ns,74
verify Fischlin,G2,,,,348518051.0,ns,75
verify Fischlin,G2,,,,351821174.0,ns,76
verify Fischlin,G2,,,,356588406.0,ns,77
verify Fischlin,G2,,,,361132671.0,ns,78
verify Fischlin,G2,,,,365438836.0,ns,79
verify Fischlin,G2,,,,370291728.0,ns,80
verify Fischlin,G2,,,,374641557.0,ns,81
verify Fischlin,G2,,,,383231660.0,ns,82
verify Fischlin,G2,,,,383893510.0,ns,83
verify Fischlin,G2,,,,389993330.0,ns,84
verify Fischlin,G2,,,,400011679.0,ns,85
verify Fischlin,G2,,,,397743759.0,ns,86
verify Fischlin,G2,,,,401726682.0,ns,87
verify Fischlin,G2,,,,406571594.0,ns,88
verify Fischlin,G2,,,,411794078.0,ns,89
verify Fischlin,G2,,,,417700753.0,ns,90
verify Fischlin,G2,,,,424048250.0,ns,91
verify Fischlin,G2,,,,425613363.0,ns,92
verify Fischlin,G2,,,,431708649.0,ns,93
verify Fischlin,G2,,,,435221106.0,ns,94
verify Fischlin,G2,,,,440508264.0,ns,95
verify Fischlin,G2,,,,444051899.0,ns,96
verify Fischlin,G2,,,,449818257.0,ns,97
verify Fischlin,G2,,,,454317375.0,ns,98
verify Fischlin,G2,,,,458670549.0,ns,99
verify Fischlin,G2,,,,462645539.0,ns,100
