#time,probability
1,0.253758
2,0.338484
3,0.373778
4,0.392932
5,0.405662
6,0.41485
7,0.421988
8,0.42701
9,0.431946
10,0.436556
11,0.439564
12,0.44287
13,0.44576
14,0.447602
15,0.449876
16,0.45165
17,0.453
18,0.454814
19,0.456288
20,0.45687
21,0.459154
22,0.460418
23,0.461352
24,0.462362
25,0.464062
26,0.46475
27,0.465582
28,0.466356
29,0.467224
30,0.467862
31,0.469172
32,0.469606
33,0.470486
34,0.471156
35,0.471548
36,0.472346
37,0.472898
38,0.47338
39,0.473496
40,0.474386
41,0.474696
42,0.474804
43,0.47501
44,0.47598
45,0.47584
46,0.476226
47,0.476758
48,0.477282
49,0.477264
50,0.477768
51,0.477674
52,0.477856
53,0.4786
54,0.478944
55,0.47937
56,0.479742
57,0.479874
58,0.480092
59,0.480246
60,0.480742
61,0.48111
62,0.48157
63,0.482104
64,0.482462
65,0.48283
66,0.482882
67,0.482788
68,0.4831
69,0.483572
70,0.483502
71,0.484252
72,0.484404
73,0.484612
74,0.484522
75,0.484702
76,0.485196
77,0.485138
78,0.485452
79,0.48547
80,0.48593
81,0.485814
82,0.48567
83,0.486176
84,0.486032
85,0.486066
86,0.486858
87,0.486886
88,0.48704
89,0.48703
90,0.48721
91,0.4874
92,0.48783
93,0.487958
94,0.488126
95,0.488384
96,0.48881
97,0.489064
98,0.48923
99,0.489348
100,0.489152
101,0.489234
102,0.48934
103,0.48933
104,0.489582
105,0.489608
106,0.489746
107,0.489842
108,0.489888
109,0.490026
110,0.4903
111,0.490606
112,0.49073
113,0.490604
114,0.4909
115,0.491432
116,0.491428
117,0.491364
118,0.491494
119,0.49135
120,0.49194
121,0.492138
122,0.49259
123,0.492436
124,0.492256
125,0.492542
126,0.492946
127,0.493272
128,0.492966
129,0.492988
130,0.4932
131,0.493028
132,0.493296
133,0.49343
134,0.493906
135,0.493658
136,0.49343
137,0.49368
138,0.493524
139,0.493708
140,0.493718
141,0.49388
142,0.49368
143,0.49399
144,0.493928
145,0.494034
146,0.494032
147,0.494068
148,0.494246
149,0.4947
150,0.494702
151,0.494908
152,0.494938
153,0.495142
154,0.495446
155,0.494916
156,0.495286
157,0.495238
158,0.495612
159,0.495846
160,0.495716
161,0.49578
162,0.495678
163,0.495962
164,0.496362
165,0.496756
166,0.496876
167,0.49696
168,0.496984
169,0.49699
170,0.496772
171,0.497144
172,0.497094
173,0.497124
174,0.497118
175,0.497262
176,0.497526
177,0.49769
178,0.497652
179,0.49762
180,0.497576
181,0.497606
182,0.497626
183,0.497474
184,0.497738
185,0.497814
186,0.497962
187,0.497982
188,0.49811
189,0.498288
190,0.498592
191,0.498212
192,0.498214
193,0.498522
194,0.498662
195,0.499242
196,0.498952
197,0.498694
198,0.499056
199,0.499108
200,0.499192
201,0.499366
202,0.499598
203,0.49944
204,0.499288
205,0.499424
206,0.499426
207,0.499434
208,0.499196
209,0.499624
210,0.499406
211,0.499284
212,0.499762
213,0.499666
214,0.499502
215,0.49987
216,0.499784
217,0.50006
218,0.500092
219,0.500114
220,0.500258
221,0.500378
222,0.50064
223,0.500422
224,0.500386
225,0.500578
226,0.500342
227,0.500516
228,0.500806
229,0.501206
230,0.500932
231,0.501026
232,0.500982
233,0.500912
234,0.501058
235,0.500932
236,0.500938
237,0.501084
238,0.501456
239,0.501552
240,0.501662
241,0.501564
242,0.501464
243,0.501666
244,0.501772
245,0.50184
246,0.501962
247,0.501712
248,0.50202
249,0.501988
250,0.501622
251,0.501924
252,0.501958
253,0.502046
254,0.502204
255,0.502008
256,0.501834
257,0.501924
258,0.501958
259,0.50216
260,0.502038
261,0.502086
262,0.50246
263,0.502188
264,0.502492
265,0.502564
266,0.502708
267,0.503224
268,0.503106
269,0.503038
270,0.503256
271,0.503126
272,0.503168
273,0.503112
274,0.503478
275,0.503298
276,0.503358
277,0.503492
278,0.503644
279,0.503572
280,0.5034
281,0.503462
282,0.50345
283,0.50341
284,0.503674
285,0.503588
286,0.50374
287,0.504052
288,0.504056
289,0.503996
290,0.504312
291,0.504484
292,0.504596
293,0.505018
294,0.504582
295,0.504524
296,0.504238
297,0.504308
298,0.50442
299,0.504508
300,0.504674
301,0.50462
302,0.504536
303,0.504356
304,0.504436
305,0.504298
306,0.5046
307,0.504538
308,0.50486
309,0.504922
310,0.505062
311,0.505092
312,0.505496
313,0.505554
314,0.505532
315,0.50558
316,0.505616
317,0.505864
318,0.505834
319,0.50546
320,0.505518
321,0.505678
322,0.50596
323,0.50626
324,0.506384
325,0.5064
326,0.506348
327,0.506408
328,0.506524
329,0.506064
330,0.50657
331,0.506354
332,0.506434
333,0.506304
334,0.506302
335,0.506036
336,0.505846
337,0.505718
338,0.505954
339,0.505792
340,0.505966
341,0.505878
342,0.506008
343,0.50608
344,0.505972
345,0.506176
346,0.506188
347,0.506336
348,0.506244
349,0.506436
350,0.506464
351,0.506386
352,0.506488
353,0.506442
354,0.50687
355,0.506738
356,0.506818
357,0.506604
358,0.506572
359,0.506608
360,0.506404
361,0.50654
362,0.506812
363,0.506764
364,0.506772
365,0.50673
366,0.507038
367,0.507248
368,0.50727
369,0.507244
370,0.50755
371,0.507708
372,0.507762
373,0.508112
374,0.508118
375,0.508024
376,0.508068
377,0.507788
378,0.50785
379,0.508066
380,0.50815
381,0.508428
382,0.508464
383,0.50844
384,0.508342
385,0.508558
386,0.508422
387,0.50847
388,0.508248
389,0.508102
390,0.508292
391,0.508434
392,0.50844
393,0.5087
394,0.50854
395,0.508816
396,0.508678
397,0.50869
398,0.50896
399,0.50895
400,0.509142
401,0.509198
402,0.509126
403,0.509044
404,0.509068
405,0.509132
406,0.508982
407,0.509196
408,0.508988
409,0.508848
410,0.508928
411,0.509058
412,0.508962
413,0.508858
414,0.508814
415,0.508714
416,0.508728
417,0.508792
418,0.5088
419,0.508802
420,0.50877
421,0.509086
422,0.509094
423,0.509258
424,0.509274
425,0.509432
426,0.509326
427,0.509252
428,0.509204
429,0.509474
430,0.509782
431,0.509568
432,0.509734
433,0.509506
434,0.509436
435,0.50941
436,0.509342
437,0.50943
438,0.509616
439,0.509904
440,0.509742
441,0.509684
442,0.509868
443,0.50989
444,0.510256
445,0.510418
446,0.510346
447,0.510576
448,0.510598
449,0.510666
450,0.510676
451,0.510594
452,0.51055
453,0.51059
454,0.5107
455,0.510686
456,0.510906
457,0.510846
458,0.510886
459,0.510786
460,0.51047
461,0.510378
462,0.510658
463,0.510744
464,0.51083
465,0.510654
466,0.511082
467,0.511058
468,0.511008
469,0.51082
470,0.510712
471,0.510952
472,0.511148
473,0.511212
474,0.511252
475,0.511074
476,0.511228
477,0.511276
478,0.511316
479,0.5114
480,0.51161
481,0.51178
482,0.511742
483,0.511758
484,0.511754
485,0.511628
486,0.511744
487,0.511852
488,0.511786
489,0.511602
490,0.511796
491,0.511724
492,0.511814
493,0.511756
494,0.51205
495,0.51187
496,0.512014
497,0.512212
498,0.512396
499,0.512266
500,0.512144
501,0.512368
502,0.512232
503,0.51238
504,0.5123
505,0.51242
506,0.512492
507,0.51247
508,0.512524
509,0.512534
510,0.512842
511,0.512848
512,0.513088
513,0.513166
514,0.512982
515,0.513136
516,0.51317
517,0.513212
518,0.513426
519,0.513302
520,0.513466
521,0.513408
522,0.513194
523,0.513142
524,0.513254
525,0.513214
526,0.513204
527,0.51327
528,0.51316
529,0.51353
