#time,probability
0.5,0
1,0
1.5,0.182
2,0.273
2.5,0.302
3,0.323
3.5,0.332
4,0.367
4.5,0.384
5,0.405
5.5,0.44
6,0.45
6.5,0.454
7,0.449
7.5,0.46
8,0.467
8.5,0.47
9,0.477
9.5,0.483
10,0.492
10.5,0.5
11,0.508
11.5,0.521
12,0.517
12.5,0.511
13,0.507
13.5,0.517
14,0.531
14.5,0.544
15,0.543
15.5,0.563
16,0.564
16.5,0.552
17,0.559
17.5,0.561
18,0.566
18.5,0.57
19,0.567
19.5,0.56
20,0.577
20.5,0.579
21,0.577
21.5,0.591
22,0.588
22.5,0.597
23,0.595
23.5,0.584
24,0.59
24.5,0.594
25,0.602
25.5,0.601
26,0.604
26.5,0.617
27,0.618
27.5,0.614
28,0.616
28.5,0.627
29,0.623
29.5,0.623
30,0.629
30.5,0.633
31,0.638
31.5,0.64
32,0.638
32.5,0.654
33,0.648
33.5,0.654
34,0.657
34.5,0.664
35,0.663
35.5,0.667
36,0.676
36.5,0.673
37,0.669
37.5,0.666
38,0.67
38.5,0.682
39,0.677
39.5,0.68
40,0.684
40.5,0.689
41,0.685
41.5,0.68
42,0.678
42.5,0.686
43,0.695
43.5,0.702
44,0.701
44.5,0.705
45,0.708
45.5,0.714
46,0.714
46.5,0.708
47,0.711
47.5,0.715
48,0.72
48.5,0.715
49,0.723
49.5,0.722
50,0.723
50.5,0.725
51,0.726
51.5,0.725
52,0.724
52.5,0.722
53,0.72
53.5,0.713
54,0.716
54.5,0.717
55,0.717
55.5,0.714
56,0.717
56.5,0.721
57,0.728
57.5,0.731
58,0.734
58.5,0.73
59,0.722
59.5,0.726
60,0.726
60.5,0.732
61,0.738
61.5,0.734
62,0.736
62.5,0.743
63,0.738
63.5,0.732
64,0.733
64.5,0.738
65,0.738
65.5,0.739
66,0.743
66.5,0.745
67,0.745
67.5,0.744
68,0.745
68.5,0.748
69,0.745
69.5,0.752
70,0.75
70.5,0.75
71,0.757
71.5,0.751
72,0.757
72.5,0.753
73,0.75
73.5,0.753
74,0.764
74.5,0.762
75,0.767
75.5,0.768
76,0.77
76.5,0.768
77,0.777
77.5,0.773
78,0.766
78.5,0.764
79,0.774
79.5,0.771
80,0.771
80.5,0.773
81,0.773
81.5,0.77
82,0.776
82.5,0.781
83,0.775
83.5,0.777
84,0.78
84.5,0.776
85,0.771
85.5,0.779
86,0.777
86.5,0.788
87,0.791
87.5,0.789
88,0.79
88.5,0.794
89,0.787
89.5,0.792
90,0.79
90.5,0.794
91,0.801
91.5,0.8
92,0.807
92.5,0.808
93,0.808
93.5,0.808
94,0.807
94.5,0.813
95,0.81
95.5,0.811
96,0.812
96.5,0.813
97,0.81
97.5,0.813
98,0.819
98.5,0.814
99,0.814
99.5,0.816
100,0.814
100.5,0.816
101,0.811
101.5,0.815
102,0.814
102.5,0.813
103,0.81
103.5,0.81
104,0.811
104.5,0.812
105,0.817
105.5,0.817
106,0.82
106.5,0.825
107,0.818
107.5,0.817
108,0.82
108.5,0.822
109,0.822
109.5,0.823
110,0.825
110.5,0.825
111,0.828
111.5,0.83
112,0.827
112.5,0.828
113,0.835
113.5,0.835
114,0.831
114.5,0.835
115,0.834
115.5,0.838
116,0.834
116.5,0.836
117,0.835
117.5,0.838
118,0.841
118.5,0.844
119,0.842
119.5,0.84
120,0.84
120.5,0.835
121,0.838
121.5,0.837
122,0.844
122.5,0.844
123,0.847
123.5,0.85
124,0.847
124.5,0.846
125,0.844
125.5,0.842
126,0.842
126.5,0.84
127,0.841
127.5,0.841
128,0.848
128.5,0.845
129,0.842
129.5,0.841
130,0.846
130.5,0.843
131,0.845
131.5,0.847
132,0.843
132.5,0.843
133,0.849
133.5,0.847
134,0.852
134.5,0.848
135,0.85
135.5,0.851
136,0.851
136.5,0.854
137,0.85
137.5,0.852
138,0.853
138.5,0.855
139,0.858
139.5,0.859
140,0.858
140.5,0.86
141,0.86
141.5,0.862
142,0.855
142.5,0.858
143,0.856
143.5,0.854
144,0.856
144.5,0.856
145,0.855
145.5,0.857
146,0.859
146.5,0.86
147,0.854
147.5,0.854
148,0.857
148.5,0.859
149,0.859
149.5,0.857
150,0.859
150.5,0.861
151,0.863
151.5,0.866
152,0.869
152.5,0.866
153,0.867
153.5,0.867
154,0.866
154.5,0.866
155,0.872
155.5,0.872
156,0.872
156.5,0.872
157,0.873
157.5,0.875
158,0.88
158.5,0.876
159,0.873
159.5,0.874
160,0.872
160.5,0.872
161,0.877
161.5,0.874
162,0.877
162.5,0.874
163,0.875
163.5,0.879
164,0.877
164.5,0.878
165,0.879
165.5,0.876
166,0.876
166.5,0.876
167,0.88
167.5,0.884
168,0.882
168.5,0.884
169,0.885
169.5,0.886
170,0.882
170.5,0.882
171,0.881
171.5,0.885
172,0.886
172.5,0.886
173,0.886
173.5,0.885
174,0.887
174.5,0.885
175,0.886
175.5,0.886
176,0.886
176.5,0.886
177,0.881
177.5,0.881
178,0.885
178.5,0.884
179,0.885
179.5,0.885
180,0.884
180.5,0.887
181,0.884
181.5,0.882
182,0.883
182.5,0.879
183,0.881
183.5,0.886
184,0.884
184.5,0.886
185,0.887
185.5,0.887
186,0.887
186.5,0.887
187,0.886
187.5,0.885
188,0.884
188.5,0.883
189,0.881
189.5,0.882
190,0.885
190.5,0.888
191,0.888
191.5,0.889
192,0.89
192.5,0.889
193,0.892
193.5,0.89
194,0.892
194.5,0.894
195,0.895
195.5,0.895
196,0.897
196.5,0.893
197,0.892
197.5,0.893
198,0.892
198.5,0.893
199,0.891
199.5,0.892
200,0.89
200.5,0.893
201,0.892
201.5,0.893
202,0.892
202.5,0.891
203,0.894
203.5,0.894
204,0.898
204.5,0.9
205,0.899
205.5,0.903
206,0.903
206.5,0.904
207,0.905
207.5,0.907
208,0.906
208.5,0.911
209,0.911
209.5,0.912
210,0.909
210.5,0.907
211,0.905
211.5,0.905
212,0.908
212.5,0.912
213,0.912
213.5,0.911
214,0.913
214.5,0.917
215,0.917
215.5,0.918
216,0.915
216.5,0.918
217,0.917
217.5,0.918
218,0.92
218.5,0.92
219,0.921
219.5,0.922
220,0.921
220.5,0.919
221,0.92
221.5,0.921
222,0.922
222.5,0.924
223,0.922
223.5,0.924
