#time,probability
0.5,0.271
1,0.402
1.5,0.47
2,0.538
2.5,0.567
3,0.606
3.5,0.627
4,0.656
4.5,0.695
5,0.72
5.5,0.734
6,0.748
6.5,0.765
7,0.777
7.5,0.787
8,0.791
8.5,0.801
9,0.819
9.5,0.837
10,0.847
10.5,0.855
11,0.854
11.5,0.857
12,0.867
12.5,0.866
13,0.869
13.5,0.883
14,0.886
14.5,0.902
15,0.904
15.5,0.909
16,0.912
16.5,0.919
17,0.915
17.5,0.916
18,0.92
18.5,0.928
19,0.936
19.5,0.934
20,0.937
20.5,0.945
21,0.94
21.5,0.946
22,0.951
22.5,0.948
23,0.947
23.5,0.948
24,0.952
24.5,0.954
25,0.961
25.5,0.965
26,0.97
26.5,0.968
27,0.969
27.5,0.969
28,0.966
28.5,0.967
29,0.971
29.5,0.972
30,0.973
30.5,0.972
31,0.972
31.5,0.977
32,0.977
32.5,0.974
33,0.977
33.5,0.977
34,0.979
34.5,0.98
35,0.979
35.5,0.981
36,0.981
36.5,0.981
37,0.982
37.5,0.983
38,0.984
38.5,0.986
39,0.987
39.5,0.988
40,0.991
40.5,0.991
41,0.991
41.5,0.992
42,0.992
42.5,0.991
43,0.99
43.5,0.993
44,0.993
44.5,0.993
45,0.993
45.5,0.992
46,0.99
46.5,0.991
47,0.992
47.5,0.992
48,0.991
48.5,0.99
49,0.99
49.5,0.99
50,0.992
50.5,0.992
51,0.992
51.5,0.993
52,0.993
52.5,0.993
53,0.991
53.5,0.995
54,0.996
54.5,0.996
55,0.996
55.5,0.996
56,0.996
56.5,0.996
57,0.996
57.5,0.996
58,0.997
58.5,0.997
59,0.997
59.5,0.998
60,0.997
60.5,0.997
61,0.997
61.5,0.997
62,0.997
62.5,0.997
63,0.996
63.5,0.996
64,0.996
64.5,0.996
65,0.996
65.5,0.997
66,0.997
66.5,0.996
67,0.997
67.5,0.998
68,0.998
68.5,0.997
69,0.997
69.5,0.997
70,0.997
70.5,0.998
71,0.998
71.5,0.997
72,0.997
72.5,0.997
73,0.997
73.5,0.997
74,0.997
74.5,0.997
75,0.997
75.5,0.998
76,0.998
76.5,0.997
77,0.998
77.5,0.998
78,0.998
78.5,0.998
79,0.999
79.5,0.999
80,0.999
80.5,0.999
81,0.999
81.5,0.998
82,0.998
82.5,0.999
83,0.999
83.5,0.999
84,0.998
84.5,0.998
85,0.998
85.5,0.999
86,0.999
86.5,0.999
87,0.999
87.5,0.998
88,0.999
88.5,0.999
89,0.999
89.5,0.999
90,0.999
90.5,0.999
91,0.999
91.5,0.999
92,0.999
92.5,0.999
93,1
93.5,1
94,1
94.5,1
95,1
95.5,1
96,1
96.5,1
97,0.999
97.5,0.999
98,0.999
98.5,0.999
99,0.999
99.5,0.999
100,1
100.5,1
101,1
101.5,1
102,1
102.5,1
103,1
103.5,1
104,1
104.5,1
105,1
105.5,1
106,1
106.5,1
107,1
107.5,1
108,1
108.5,1
109,1
109.5,1
110,1
110.5,1
111,1
111.5,1
112,1
112.5,1
113,1
113.5,1
114,1
114.5,1
115,1
115.5,1
116,1
116.5,1
117,1
117.5,1
118,1
118.5,1
119,1
119.5,1
120,1
120.5,1
121,1
121.5,1
122,1
122.5,1
123,1
123.5,1
124,1
124.5,1
125,1
125.5,1
126,1
126.5,1
127,1
127.5,1
