#time,probability
5,0.416
10,0.48
15,0.476
20,0.499
25,0.512
30,0.522
35,0.537
40,0.559
45,0.572
50,0.57
55,0.576
60,0.561
65,0.57
70,0.581
75,0.588
80,0.592
85,0.611
90,0.618
95,0.613
100,0.629
105,0.638
110,0.632
115,0.645
120,0.64
125,0.643
130,0.648
135,0.652
140,0.663
145,0.658
150,0.66
155,0.655
160,0.662
165,0.656
170,0.662
175,0.659
180,0.654
185,0.66
190,0.675
195,0.671
200,0.676
205,0.667
210,0.683
215,0.685
220,0.681
225,0.694
230,0.698
235,0.697
240,0.694
245,0.697
250,0.708
255,0.714
260,0.713
265,0.719
270,0.725
275,0.732
280,0.718
285,0.724
290,0.727
295,0.738
300,0.736
305,0.732
310,0.734
315,0.736
320,0.734
325,0.727
330,0.734
335,0.741
340,0.743
345,0.746
350,0.741
355,0.739
360,0.742
365,0.747
370,0.745
375,0.745
380,0.748
385,0.747
390,0.738
395,0.758
400,0.746
405,0.752
410,0.76
415,0.762
420,0.763
425,0.762
430,0.761
435,0.769
440,0.766
445,0.77
450,0.767
455,0.769
460,0.773
465,0.769
470,0.771
475,0.775
480,0.772
485,0.784
490,0.778
495,0.782
500,0.778
505,0.787
510,0.785
515,0.789
520,0.792
525,0.791
530,0.795
535,0.791
540,0.789
545,0.796
550,0.802
555,0.807
560,0.811
565,0.812
570,0.805
575,0.808
580,0.81
585,0.807
590,0.806
595,0.805
600,0.81
605,0.809
610,0.805
615,0.805
620,0.803
625,0.802
630,0.806
635,0.808
640,0.808
645,0.811
650,0.807
655,0.816
660,0.816
665,0.817
670,0.807
675,0.808
680,0.813
685,0.808
690,0.81
695,0.824
700,0.824
705,0.826
710,0.83
715,0.834
720,0.835
725,0.84
730,0.84
735,0.837
740,0.835
745,0.836
750,0.841
755,0.841
760,0.842
765,0.845
770,0.845
775,0.845
780,0.848
785,0.848
790,0.844
795,0.836
800,0.845
805,0.845
810,0.85
815,0.851
820,0.857
825,0.856
830,0.856
835,0.857
840,0.861
845,0.859
850,0.86
855,0.865
860,0.866
865,0.86
870,0.859
875,0.858
880,0.86
885,0.858
890,0.855
895,0.854
900,0.852
905,0.857
910,0.863
915,0.863
920,0.866
925,0.868
930,0.868
935,0.869
940,0.868
945,0.865
950,0.875
955,0.872
960,0.875
965,0.868
970,0.87
975,0.874
980,0.869
985,0.872
990,0.874
995,0.879
1000,0.884
1005,0.882
1010,0.881
1015,0.882
1020,0.883
1025,0.885
1030,0.88
1035,0.881
1040,0.882
1045,0.881
1050,0.885
1055,0.885
1060,0.886
1065,0.894
1070,0.887
1075,0.891
1080,0.898
1085,0.897
1090,0.898
1095,0.9
1100,0.901
1105,0.897
1110,0.901
1115,0.902
1120,0.899
1125,0.898
1130,0.897
1135,0.899
1140,0.901
1145,0.896
1150,0.894
1155,0.899
1160,0.894
1165,0.893
1170,0.9
1175,0.904
1180,0.903
1185,0.9
1190,0.902
1195,0.902
1200,0.902
1205,0.903
1210,0.904
1215,0.907
1220,0.908
1225,0.907
1230,0.907
1235,0.907
1240,0.909
1245,0.911
1250,0.911
1255,0.909
1260,0.908
1265,0.91
1270,0.913
1275,0.915
1280,0.917
1285,0.917
1290,0.919
1295,0.911
1300,0.914
1305,0.915
1310,0.917
1315,0.914
1320,0.916
1325,0.914
1330,0.918
1335,0.919
1340,0.919
1345,0.915
1350,0.919
1355,0.918
1360,0.917
1365,0.914
1370,0.92
1375,0.919
1380,0.922
1385,0.919
1390,0.919
1395,0.922
1400,0.926
1405,0.921
1410,0.919
1415,0.921
1420,0.924
1425,0.923
1430,0.926
1435,0.926
1440,0.926
1445,0.93
1450,0.928
1455,0.925
1460,0.926
1465,0.93
1470,0.928
1475,0.927
1480,0.925
1485,0.929
1490,0.929
1495,0.929
1500,0.926
1505,0.929
1510,0.928
1515,0.927
1520,0.934
1525,0.932
1530,0.933
1535,0.933
1540,0.936
1545,0.934
1550,0.934
1555,0.934
1560,0.935
1565,0.934
1570,0.936
1575,0.938
1580,0.939
1585,0.937
1590,0.935
1595,0.937
1600,0.937
1605,0.937
1610,0.935
1615,0.938
1620,0.939
1625,0.94
1630,0.94
1635,0.939
1640,0.938
1645,0.938
1650,0.94
1655,0.94
1660,0.941
1665,0.942
1670,0.94
1675,0.938
1680,0.941
1685,0.944
1690,0.939
1695,0.942
1700,0.943
1705,0.941
1710,0.943
1715,0.944
1720,0.946
1725,0.944
1730,0.944
1735,0.945
1740,0.947
1745,0.947
1750,0.947
1755,0.946
1760,0.946
1765,0.949
1770,0.948
1775,0.951
1780,0.952
1785,0.948
1790,0.951
1795,0.951
1800,0.948
1805,0.947
1810,0.949
1815,0.947
1820,0.947
1825,0.948
1830,0.949
1835,0.948
1840,0.95
1845,0.95
1850,0.95
1855,0.95
1860,0.952
1865,0.948
1870,0.953
1875,0.953
1880,0.951
1885,0.952
1890,0.952
1895,0.956
1900,0.953
1905,0.951
1910,0.951
1915,0.949
1920,0.952
1925,0.954
1930,0.954
1935,0.951
1940,0.949
1945,0.952
1950,0.953
1955,0.955
1960,0.956
1965,0.953
1970,0.955
1975,0.956
1980,0.956
1985,0.957
1990,0.956
1995,0.955
2000,0.955
2005,0.954
2010,0.953
2015,0.952
2020,0.954
2025,0.953
2030,0.952
2035,0.952
2040,0.955
2045,0.958
2050,0.959
2055,0.957
2060,0.957
2065,0.96
2070,0.959
2075,0.962
2080,0.962
2085,0.962
2090,0.965
2095,0.962
2100,0.964
2105,0.962
2110,0.96
2115,0.962
2120,0.961
2125,0.959
2130,0.959
2135,0.959
2140,0.961
2145,0.961
2150,0.965
2155,0.963
2160,0.965
2165,0.968
2170,0.967
2175,0.964
2180,0.962
2185,0.961
2190,0.963
2195,0.965
2200,0.965
2205,0.962
2210,0.967
2215,0.965
2220,0.963
2225,0.965
2230,0.966
