#block-time,bootstrap-length
3.7,50535.00000411944
3.8000000000000003,45213.00000151979
3.9000000000000004,41952.00000421619
4,41445.0000026563
4.1000000000000005,37677.00000086597
4.2,37466.000000064596
4.3,35707.00000455749
4.4,34548.0000037424
4.5,33271.000004841335
4.6000000000000005,31336.000001663302
4.7,30588.00000421999
4.800000000000001,30524.000001447086
4.9,29743.000005577294
5,29153.000007638406
5.1000000000000005,26790.000000543798
5.2,27570.00000034047
5.300000000000001,27675.000005403068
5.4,25931.00000029008
5.5,25239.00000096343
5.6000000000000005,25148.000030191888
5.7,26428.000005937552
5.800000000000001,25653.000015978072
5.9,25340.00000717786
6,24502.000001099022
6.1000000000000005,25402.00000232957
6.2,25172.000002887307
6.300000000000001,24071.000010328866
6.4,24976.000001692333
6.5,25745.000013130433
6.6000000000000005,24823.00001049009
6.7,24351.000000057928
6.800000000000001,24346.000006455015
6.9,24055.000002600817
7,23805.000012722983
7.1000000000000005,23686.000002267723
7.2,25270.000021919226
7.300000000000001,24562.000017241902
7.4,23737.000002980698
7.5,23651.00000416323
7.6000000000000005,23610.00000642719
7.7,24259.000002307283
7.800000000000001,23307.00000440122
7.9,24258.000000158212
8,24774.000001523054
8.1,23337.00000488991
8.200000000000001,24172.00000516073
8.3,24156.000002118533
8.4,25136.0000017941
8.5,24836.000047493628
8.6,23983.00001871666
8.700000000000001,23493.000000287888
8.8,24355.000012754914
8.9,25178.0000063994
9,24094.000001198605
9.1,24913.00000709821
9.200000000000001,24185.000009857107
9.3,24763.000013631354
9.4,24289.00003584772
9.5,25400.000017914732
9.600000000000001,24439.00000142852
9.700000000000001,25869.000008722956
9.8,24407.000006286544
9.9,24524.00000087797
10,24646.00000549266
10.100000000000001,24649.000002285637
10.200000000000001,25778.000003163826
10.3,26164.000000625212
10.4,24581.000003491903
10.5,24729.00000202752
10.600000000000001,25388.000005557416
10.700000000000001,25216.000018309285
10.8,25234.00000065278
10.9,25494.0000066239
11,26150.00000947682
11.100000000000001,27811.000006767117
11.200000000000001,25402.00000155297
11.3,26938.00002839724
11.4,26183.00000266327
11.5,26415.000012281434
11.600000000000001,27340.000013108453
11.700000000000001,26084.000016917813
11.8,27555.00001680357
11.9,27107.00000024923
12,26159.00000416837
12.100000000000001,27652.000000706386
12.200000000000001,27653.00001415953
12.3,27318.00000236989
12.4,25675.000007651404
12.5,27596.000011814987
12.600000000000001,27039.00001601953
12.700000000000001,28178.000014159254
12.8,27569.000006536004
12.9,28261.000019093495
13,27564.00001559844
13.100000000000001,27555.000002298366
13.200000000000001,28555.000013085435
13.3,29091.000008079973
13.4,29481.000001685752
13.5,28389.000033273896
13.600000000000001,29083.00000359548
13.700000000000001,28360.000001252614
13.8,28804.000002637382
13.9,28384.00004691889
14,29186.000004371665
14.100000000000001,29328.000013239318
14.200000000000001,28603.000002905534
14.3,29754.00000609355
14.4,29340.000026352296
14.5,29090.000011541786
14.600000000000001,30322.000008749987
14.700000000000001,29185.00001145691
14.8,30174.000029203613
14.9,30877.000030165644
15,30297.000006505463
15.100000000000001,31133.000002895198
15.200000000000001,30504.00001961885
15.3,31418.0000008672
15.4,30034.000004756705
15.5,30268.000000272896
15.600000000000001,31852.00004749245
15.700000000000001,31425.000021696218
15.8,30500.0000100234
15.9,32050.00001231751
16,31547.000018459064
16.1,31749.00003817418
16.2,31178.000026751542
16.3,32278.000000355238
16.400000000000002,31872.00003083029
16.5,33842.000005293725
16.6,31621.000003941386
16.7,31691.000001528722
16.8,32157.000036531594
16.900000000000002,33325.00000886276
17,31753.000033059492
17.1,32595.000004542886
17.2,32327.000003962567
17.3,33793.00000148267
17.400000000000002,33727.0000238831
17.5,32551.00000899958
17.6,32681.00000469597
17.7,33812.00001354497
17.8,34103.00006703107
17.900000000000002,34188.000001947854
18,33634.00000959527
18.1,33770.00000031364
18.2,34745.00002259093
18.3,34550.000036654106
18.400000000000002,35316.00003153705
18.5,33941.00000477344
18.6,35362.00003364976
18.7,34555.00000240067
18.8,35298.00006616636
18.900000000000002,35253.00002782735
19,36690.00003904099
19.1,36545.000005696915
19.200000000000003,35755.0000093809
19.3,35168.00002841871
19.400000000000002,34815.00001041464
19.5,34603.00000077235
19.6,36019.00002270925
19.700000000000003,36154.00000191261
19.8,35425.00000882692
19.900000000000002,37810.00000568561
20,37634.000025654146
20.1,36025.000007269315
20.200000000000003,35478.000021779735
20.3,34877.00000151018
20.400000000000002,36690.0000171934
20.5,36031.00005823166
20.6,36345.000049745606
20.700000000000003,36893.00000083269
20.8,35979.000007765746
20.900000000000002,36671.00004670923
21,38622.00000119093
21.1,38323.00005301793
21.200000000000003,39852.00002638741
21.3,36177.0000925024
21.400000000000002,39111.00002077012
21.5,37629.00004354385
21.6,39264.00003049541
21.700000000000003,38022.000026812544
21.8,39156.000011550525
21.900000000000002,38797.0000009086
22,38957.00002148416
22.1,38898.00002866464
22.200000000000003,39890.00013527648
22.3,39907.00005807119
22.400000000000002,39815.000000347674
22.5,39833.000002319386
22.6,39959.000024629524
22.700000000000003,38670.000015963895
22.8,41825.00003634168
22.900000000000002,41708.000014660654
23,40722.00001329994
23.1,41844.000009141
23.200000000000003,39852.000013364974
23.3,41513.00003693645
23.400000000000002,41652.00002976933
23.5,41625.00006827351
23.6,40694.00010703485
23.700000000000003,41879.00008332514
23.8,41319.000000156884
23.900000000000002,42803.00002959688
24,41947.00000331882
24.1,41108.00000771698
24.200000000000003,43660.00000676828
24.3,41819.00005506976
24.400000000000002,42038.00002661485
24.5,41868.000033344455
24.6,42720.00003562346
24.700000000000003,43844.00001631288
24.8,43023.00000838517
24.900000000000002,44023.00002795522
25,42678.00001238164
