#time,probability
5,0.448
10,0.507
15,0.528
20,0.547
25,0.565
30,0.581
35,0.603
40,0.602
45,0.632
50,0.63
55,0.642
60,0.649
65,0.654
70,0.663
75,0.662
80,0.673
85,0.67
90,0.673
95,0.686
100,0.684
105,0.688
110,0.693
115,0.707
120,0.71
125,0.718
130,0.738
135,0.726
140,0.734
145,0.724
150,0.739
155,0.73
160,0.726
165,0.72
170,0.712
175,0.728
180,0.734
185,0.733
190,0.745
195,0.749
200,0.75
205,0.747
210,0.754
215,0.761
220,0.771
225,0.767
230,0.766
235,0.772
240,0.776
245,0.778
250,0.768
255,0.767
260,0.77
265,0.768
270,0.766
275,0.775
280,0.783
285,0.777
290,0.784
295,0.79
300,0.78
305,0.786
310,0.786
315,0.792
320,0.789
325,0.792
330,0.796
335,0.797
340,0.798
345,0.798
350,0.796
355,0.807
360,0.801
365,0.803
370,0.805
375,0.812
380,0.819
385,0.814
390,0.817
395,0.81
400,0.808
405,0.816
410,0.819
415,0.825
420,0.82
425,0.821
430,0.82
435,0.824
440,0.814
445,0.819
450,0.827
455,0.833
460,0.837
465,0.844
470,0.837
475,0.843
480,0.84
485,0.842
490,0.842
495,0.84
500,0.846
505,0.851
510,0.852
515,0.853
520,0.85
525,0.854
530,0.857
535,0.858
540,0.86
545,0.859
550,0.865
555,0.862
560,0.87
565,0.868
570,0.866
575,0.862
580,0.86
585,0.867
590,0.874
595,0.871
600,0.878
605,0.874
610,0.867
615,0.874
620,0.873
625,0.878
630,0.881
635,0.888
640,0.885
645,0.886
650,0.886
655,0.889
660,0.886
665,0.883
670,0.89
675,0.885
680,0.895
685,0.895
690,0.898
695,0.891
700,0.898
705,0.893
710,0.894
715,0.897
720,0.897
725,0.903
730,0.903
735,0.909
740,0.903
745,0.907
750,0.906
755,0.906
760,0.902
765,0.907
770,0.904
775,0.906
780,0.911
785,0.911
790,0.907
795,0.906
800,0.913
805,0.908
810,0.916
815,0.921
820,0.92
825,0.923
830,0.92
835,0.921
840,0.924
845,0.924
850,0.924
855,0.923
860,0.92
865,0.923
870,0.925
875,0.929
880,0.928
885,0.928
890,0.928
895,0.931
900,0.929
905,0.928
910,0.931
915,0.926
920,0.927
925,0.928
930,0.924
935,0.926
940,0.93
945,0.932
950,0.93
955,0.93
960,0.929
965,0.929
970,0.929
975,0.928
980,0.933
985,0.934
990,0.931
995,0.936
1000,0.936
1005,0.94
1010,0.94
1015,0.942
1020,0.942
1025,0.941
1030,0.94
1035,0.943
1040,0.944
1045,0.942
1050,0.94
1055,0.94
1060,0.944
1065,0.943
