#block-time,bootstrap-length
3.4000000000000004,45753.00000724729
3.5,43551.000003194684
3.6,37538.00000096882
3.7,33801.000004942834
3.8000000000000003,32899.00000188458
3.9000000000000004,30325.000003456935
4,28789.000002697794
4.1000000000000005,25946.00000376062
4.2,24788.00000011928
4.3,24567.000011558714
4.4,22705.000007946226
4.5,21739.0000005737
4.6000000000000005,21615.00000493148
4.7,21113.00000598655
4.800000000000001,20089.00000643617
4.9,20765.000001374072
5,19020.00000664374
5.1000000000000005,19372.00000461026
5.2,18623.00000236408
5.300000000000001,18832.0000020193
5.4,18376.00000484168
5.5,18798.000001075838
5.6000000000000005,18123.000005619408
5.7,17504.00000661044
5.800000000000001,18534.000008076036
5.9,17574.000001652767
6,16816.00000467851
6.1000000000000005,17512.000000282413
6.2,17258.000001912005
6.300000000000001,18109.00000004248
6.4,17033.00000027999
6.5,16535.00000201408
6.6000000000000005,17001.000007665472
6.7,17021.000009581254
6.800000000000001,16293.00000293962
6.9,16919.000015943577
7,16991.000001945744
7.1000000000000005,16254.000001318595
7.2,17267.000004916255
7.300000000000001,16595.00001557196
7.4,16563.000022771754
7.5,16865.000002269873
7.6000000000000005,16656.000013689303
7.7,17160.000008806735
7.800000000000001,16774.000004226094
7.9,16860.000002816985
8,17140.000007331295
8.1,16854.000004125053
8.200000000000001,16557.00003927468
8.3,16412.00000160957
8.4,16977.000001137087
8.5,17611.000003800647
8.6,17290.000013393095
8.700000000000001,17160.00000248477
8.8,16636.000000991295
8.9,16935.000007059894
9,16476.000003830624
9.1,17138.000020301693
9.200000000000001,16835.00000096198
9.3,17551.000007916206
9.4,17027.000004764508
9.5,17826.000000795426
9.600000000000001,17116.000003127545
9.700000000000001,16986.00000099749
9.8,17296.000036134315
9.9,17412.000004432073
10,17534.000001463417
10.100000000000001,17420.000003365178
10.200000000000001,17150.00000257048
10.3,17028.000002090892
10.4,17578.00000111092
10.5,17770.000014656678
10.600000000000001,18231.00000088241
10.700000000000001,17929.000014506088
