2,36
4,37
8,37
16,41
32,49
64,61
128,89
256,143
512,252
1024,468
2048,909
4096,1622
8192,3205
16384,6377
32768,12736
65536,25513
131072,50944
262144,110145
524288,216803
1048576,444085
