#time,probability
1,0.256716
2,0.340166
3,0.375822
4,0.395824
5,0.40848
6,0.41804
7,0.4251
8,0.430828
9,0.43585
10,0.43964
11,0.443038
12,0.446368
13,0.448626
14,0.45173
15,0.453446
16,0.455254
17,0.457174
18,0.45869
19,0.460292
20,0.462436
21,0.463552
22,0.464906
23,0.466466
24,0.467862
25,0.468934
26,0.469944
27,0.470804
28,0.471862
29,0.472996
30,0.47354
31,0.474166
32,0.475314
33,0.476448
34,0.476452
35,0.477082
36,0.47751
37,0.478078
38,0.478764
39,0.479854
40,0.480176
41,0.481004
42,0.481724
43,0.481748
44,0.482322
45,0.482852
46,0.483534
47,0.484114
48,0.48452
49,0.485002
50,0.485172
51,0.485154
52,0.485444
53,0.485916
54,0.486376
55,0.487208
56,0.487278
57,0.488128
58,0.488322
59,0.488828
60,0.489178
61,0.489532
62,0.490318
63,0.49045
64,0.49074
65,0.491122
66,0.491206
67,0.491752
68,0.491966
69,0.492198
70,0.49216
71,0.492824
72,0.493018
73,0.493366
74,0.49365
75,0.493588
76,0.494162
77,0.494418
78,0.494762
79,0.494654
80,0.495168
81,0.495368
82,0.495866
83,0.49609
84,0.49616
85,0.495978
86,0.49642
87,0.49675
88,0.497018
89,0.497516
90,0.497676
91,0.497998
92,0.498516
93,0.49882
94,0.499142
95,0.498886
96,0.498926
97,0.498822
98,0.499048
99,0.499308
100,0.499354
101,0.499474
102,0.499422
103,0.499652
104,0.500396
105,0.500486
106,0.500586
107,0.500806
108,0.501122
109,0.50148
110,0.501248
111,0.50133
112,0.501256
113,0.501498
114,0.50185
115,0.50219
116,0.50287
117,0.502334
118,0.5026
119,0.502926
120,0.503142
121,0.503828
122,0.503858
123,0.503904
124,0.504074
125,0.504264
126,0.50457
127,0.504546
128,0.504954
129,0.505094
130,0.505436
131,0.50551
132,0.50559
133,0.50586
134,0.50569
135,0.505752
136,0.505778
137,0.505992
138,0.505628
139,0.506054
140,0.505962
141,0.506134
142,0.506026
143,0.506084
144,0.50647
145,0.506596
146,0.506706
147,0.506736
148,0.506756
