#time,probability
0.5,0
1,0
1.5,0
2,0.065
2.5,0.171
3,0.201
3.5,0.215
4,0.225
4.5,0.225
5,0.24
5.5,0.254
6,0.26
6.5,0.265
7,0.261
7.5,0.274
8,0.279
8.5,0.285
9,0.291
9.5,0.286
10,0.287
10.5,0.3
11,0.304
11.5,0.317
12,0.317
12.5,0.319
13,0.311
13.5,0.312
14,0.319
14.5,0.315
15,0.314
15.5,0.313
16,0.315
16.5,0.314
17,0.315
17.5,0.313
18,0.318
18.5,0.317
19,0.318
19.5,0.318
20,0.319
20.5,0.319
21,0.324
21.5,0.323
22,0.333
22.5,0.334
23,0.332
23.5,0.334
24,0.328
24.5,0.331
25,0.321
25.5,0.315
26,0.319
26.5,0.319
27,0.317
27.5,0.323
28,0.322
28.5,0.323
29,0.328
29.5,0.336
30,0.341
30.5,0.336
31,0.34
31.5,0.339
32,0.339
32.5,0.339
33,0.332
33.5,0.329
34,0.333
34.5,0.331
35,0.319
35.5,0.319
36,0.316
36.5,0.319
37,0.316
37.5,0.323
38,0.309
38.5,0.311
39,0.309
39.5,0.313
40,0.316
40.5,0.311
41,0.31
41.5,0.317
42,0.327
42.5,0.315
43,0.318
43.5,0.313
44,0.308
44.5,0.304
45,0.307
45.5,0.304
46,0.303
46.5,0.297
47,0.294
47.5,0.3
48,0.299
48.5,0.295
49,0.302
49.5,0.3
50,0.3
50.5,0.299
51,0.296
51.5,0.3
52,0.296
52.5,0.295
53,0.298
53.5,0.304
54,0.306
54.5,0.308
55,0.308
55.5,0.303
56,0.298
56.5,0.298
57,0.295
57.5,0.294
58,0.289
58.5,0.295
59,0.303
59.5,0.303
60,0.301
60.5,0.295
61,0.299
61.5,0.298
62,0.294
62.5,0.288
63,0.288
63.5,0.288
64,0.287
64.5,0.288
65,0.283
65.5,0.293
66,0.283
66.5,0.286
67,0.283
67.5,0.28
68,0.281
68.5,0.287
69,0.287
69.5,0.281
70,0.287
70.5,0.286
71,0.282
71.5,0.282
72,0.281
72.5,0.286
73,0.292
73.5,0.289
74,0.291
74.5,0.294
75,0.292
75.5,0.294
76,0.29
76.5,0.287
77,0.286
77.5,0.291
78,0.291
78.5,0.294
79,0.294
79.5,0.291
80,0.29
80.5,0.287
81,0.285
81.5,0.282
82,0.285
82.5,0.29
83,0.293
83.5,0.296
84,0.291
84.5,0.292
85,0.29
85.5,0.287
86,0.284
86.5,0.282
87,0.284
87.5,0.285
88,0.282
88.5,0.286
89,0.29
89.5,0.289
90,0.289
90.5,0.297
91,0.293
91.5,0.299
92,0.304
92.5,0.306
93,0.299
93.5,0.306
94,0.304
94.5,0.302
95,0.302
95.5,0.298
96,0.299
96.5,0.299
97,0.294
97.5,0.293
98,0.293
98.5,0.293
99,0.293
99.5,0.291
100,0.295
100.5,0.293
101,0.291
101.5,0.284
102,0.282
102.5,0.282
103,0.279
103.5,0.288
104,0.284
104.5,0.281
105,0.276
105.5,0.271
106,0.273
106.5,0.275
107,0.279
107.5,0.271
108,0.269
108.5,0.265
109,0.273
109.5,0.273
110,0.272
110.5,0.274
111,0.272
111.5,0.277
112,0.271
112.5,0.265
113,0.269
113.5,0.271
114,0.264
114.5,0.27
115,0.271
115.5,0.269
116,0.273
116.5,0.266
117,0.276
117.5,0.272
118,0.272
118.5,0.273
119,0.272
119.5,0.272
120,0.274
120.5,0.274
121,0.274
121.5,0.27
122,0.268
122.5,0.276
123,0.272
123.5,0.263
124,0.264
124.5,0.267
125,0.264
125.5,0.27
126,0.267
126.5,0.259
127,0.261
127.5,0.263
128,0.26
128.5,0.254
129,0.252
129.5,0.257
130,0.26
130.5,0.26
131,0.257
131.5,0.262
132,0.261
132.5,0.262
133,0.26
133.5,0.265
134,0.269
134.5,0.265
135,0.261
135.5,0.263
136,0.265
136.5,0.269
137,0.268
137.5,0.265
138,0.263
138.5,0.269
139,0.267
139.5,0.263
140,0.262
140.5,0.266
141,0.266
141.5,0.263
142,0.266
142.5,0.271
143,0.265
143.5,0.262
144,0.263
144.5,0.265
145,0.263
145.5,0.263
146,0.257
146.5,0.256
147,0.257
147.5,0.26
148,0.258
148.5,0.259
149,0.261
149.5,0.257
150,0.261
150.5,0.261
151,0.253
151.5,0.257
152,0.255
152.5,0.25
153,0.251
153.5,0.247
154,0.244
154.5,0.244
155,0.247
155.5,0.247
156,0.248
156.5,0.253
157,0.26
157.5,0.26
158,0.256
158.5,0.254
159,0.249
159.5,0.251
160,0.251
160.5,0.254
161,0.255
161.5,0.256
162,0.249
162.5,0.246
163,0.243
163.5,0.242
164,0.242
164.5,0.238
165,0.239
165.5,0.236
166,0.233
166.5,0.235
167,0.236
167.5,0.238
168,0.244
168.5,0.24
169,0.238
169.5,0.237
170,0.234
170.5,0.237
171,0.236
171.5,0.233
172,0.23
172.5,0.23
173,0.23
173.5,0.232
174,0.229
174.5,0.236
175,0.238
175.5,0.239
176,0.239
176.5,0.235
177,0.235
177.5,0.233
178,0.231
178.5,0.228
179,0.225
179.5,0.23
180,0.236
180.5,0.233
181,0.229
181.5,0.234
182,0.233
182.5,0.227
183,0.228
183.5,0.227
184,0.228
184.5,0.226
185,0.231
185.5,0.227
186,0.228
186.5,0.224
187,0.224
187.5,0.229
188,0.231
188.5,0.225
189,0.228
189.5,0.231
190,0.226
190.5,0.225
191,0.221
191.5,0.223
192,0.23
192.5,0.234
193,0.23
193.5,0.23
194,0.235
194.5,0.243
195,0.239
195.5,0.241
196,0.24
196.5,0.243
197,0.237
197.5,0.239
198,0.237
198.5,0.237
199,0.235
199.5,0.237
200,0.236
200.5,0.233
201,0.235
201.5,0.233
202,0.236
202.5,0.234
203,0.229
203.5,0.229
204,0.229
204.5,0.229
205,0.238
205.5,0.233
206,0.234
206.5,0.23
207,0.23
207.5,0.231
208,0.233
208.5,0.233
209,0.231
209.5,0.231
210,0.233
210.5,0.233
211,0.232
211.5,0.229
212,0.231
212.5,0.225
213,0.227
213.5,0.224
214,0.223
214.5,0.219
215,0.223
215.5,0.224
216,0.225
216.5,0.224
217,0.222
217.5,0.225
218,0.224
218.5,0.224
219,0.219
219.5,0.219
220,0.22
220.5,0.219
221,0.219
221.5,0.219
222,0.222
222.5,0.218
223,0.215
223.5,0.217
224,0.216
