#time,probability
5,0.33
10,0.395
15,0.391
20,0.389
25,0.385
30,0.385
35,0.39
40,0.378
45,0.381
50,0.383
55,0.4
60,0.397
65,0.393
70,0.397
75,0.392
80,0.388
85,0.395
90,0.396
95,0.391
100,0.381
105,0.388
110,0.384
115,0.372
120,0.373
125,0.374
130,0.383
135,0.37
140,0.369
145,0.369
150,0.365
155,0.364
160,0.369
165,0.372
170,0.373
175,0.368
180,0.355
185,0.359
190,0.363
195,0.371
200,0.354
205,0.352
210,0.356
215,0.35
220,0.349
225,0.35
230,0.356
235,0.349
240,0.34
245,0.347
250,0.35
255,0.355
260,0.354
265,0.35
270,0.348
275,0.348
280,0.34
285,0.342
290,0.339
295,0.341
300,0.34
305,0.341
310,0.341
315,0.346
320,0.339
325,0.343
330,0.343
335,0.34
340,0.335
345,0.331
350,0.334
355,0.326
360,0.336
365,0.335
370,0.336
375,0.33
380,0.335
385,0.328
390,0.34
395,0.337
400,0.338
405,0.342
410,0.33
415,0.33
420,0.333
425,0.334
430,0.335
435,0.328
440,0.326
445,0.325
450,0.322
455,0.317
460,0.315
465,0.307
470,0.303
475,0.308
480,0.3
485,0.31
490,0.307
495,0.3
500,0.297
505,0.297
510,0.301
515,0.296
520,0.297
525,0.296
530,0.296
535,0.293
540,0.299
545,0.291
550,0.287
555,0.281
560,0.281
565,0.279
570,0.282
575,0.289
580,0.284
585,0.283
590,0.281
595,0.284
600,0.284
605,0.289
610,0.29
615,0.293
620,0.295
625,0.29
630,0.293
635,0.287
640,0.289
645,0.286
650,0.287
655,0.289
660,0.293
665,0.291
670,0.293
675,0.294
680,0.293
685,0.288
690,0.292
695,0.286
700,0.285
705,0.286
710,0.29
715,0.295
720,0.295
725,0.284
730,0.29
735,0.286
740,0.286
745,0.285
750,0.28
755,0.272
760,0.271
765,0.268
770,0.273
775,0.274
780,0.273
785,0.27
790,0.272
795,0.265
800,0.267
805,0.269
810,0.269
815,0.261
820,0.264
825,0.262
830,0.266
835,0.263
840,0.26
845,0.258
850,0.259
855,0.262
860,0.259
865,0.256
870,0.257
875,0.255
880,0.246
885,0.243
890,0.248
895,0.25
900,0.247
905,0.253
910,0.254
915,0.263
920,0.265
925,0.255
930,0.257
935,0.245
940,0.247
945,0.247
