#time,probability
2,0.3350796
4,0.3891596
6,0.410636
8,0.4231674
10,0.4313882
12,0.4376752
14,0.4423776
16,0.4458728
18,0.4490532
20,0.4515842
22,0.453913
24,0.4561614
26,0.4579534
28,0.4595912
30,0.4608526
32,0.4620154
34,0.4632446
36,0.4640826
38,0.465018
40,0.4658822
42,0.4667802
44,0.4675574
46,0.4680354
48,0.468811
50,0.4698052
52,0.470318
54,0.4710946
56,0.4715974
58,0.4720938
60,0.4724924
62,0.4728918
64,0.4733732
66,0.4738398
68,0.4742964
70,0.474682
72,0.4750248
74,0.475259
76,0.4758146
78,0.4759938
80,0.476262
82,0.4765496
84,0.476742
86,0.4768652
88,0.477126
90,0.4773678
92,0.4775204
94,0.477771
96,0.47807
98,0.4783178
100,0.4783418
102,0.4785024
104,0.478482
106,0.4788504
108,0.4789538
110,0.4791564
112,0.4792778
114,0.4795538
116,0.4798656
118,0.480113
120,0.480156
122,0.480256
124,0.4804414
126,0.4805504
128,0.4807866
130,0.480893
132,0.4811146
134,0.4813816
136,0.48159
138,0.4816618
140,0.481661
142,0.4817474
144,0.4817938
146,0.4818992
148,0.482052
150,0.4821306
152,0.4822806
154,0.4823686
156,0.4825542
158,0.4827242
160,0.4828776
162,0.482937
164,0.483
166,0.4832176
168,0.4833294
170,0.4835022
172,0.483483
174,0.4835732
176,0.483629
178,0.4837092
180,0.4838194
182,0.4839026
184,0.484046
186,0.484253
188,0.4843122
190,0.4842894
192,0.4844136
194,0.4844944
196,0.4846464
198,0.4846988
200,0.4847882
202,0.4847932
204,0.4848158
206,0.4849578
208,0.4849634
210,0.4850258
212,0.485098
214,0.4851946
216,0.485112
218,0.4851964
220,0.4852504
222,0.4853602
224,0.4854242
226,0.485385
228,0.4854342
230,0.4854778
232,0.4857172
234,0.4856982
236,0.485757
238,0.4858428
240,0.4859374
242,0.4859872
244,0.4860476
246,0.4861064
248,0.486118
250,0.48603
252,0.486167
254,0.486248
256,0.4863334
258,0.486463
260,0.486473
262,0.4864604
264,0.4864412
266,0.4864782
268,0.4865764
270,0.4866832
272,0.4866768
274,0.4867572
276,0.4867468
278,0.4867772
280,0.4868748
282,0.4869244
284,0.4870474
286,0.487116
288,0.48707
290,0.4870616
292,0.487161
294,0.487223
296,0.4872112
298,0.4871472
300,0.4871792
302,0.4871132
304,0.4871562
306,0.487276
308,0.4874006
310,0.487394
312,0.4873424
314,0.4874492
316,0.48747
318,0.4873894
320,0.4874508
322,0.487446
324,0.4876168
326,0.4876818
328,0.487807
330,0.4879302
332,0.4878936
334,0.4879504
336,0.4879622
338,0.488053
340,0.488162
342,0.488176
344,0.4881254
346,0.4881484
348,0.4882204
350,0.4882518
352,0.4882838
354,0.4882474
356,0.4883446
358,0.4884214
360,0.4883964
362,0.4884552
364,0.4884196
366,0.4884602
368,0.488405
370,0.4884764
372,0.4884918
374,0.4885132
376,0.4885908
378,0.488572
380,0.4885982
382,0.4887102
384,0.4887076
386,0.4887114
388,0.4888294
390,0.4887466
392,0.4888812
394,0.4888826
396,0.488919
398,0.4888554
400,0.4890084
402,0.4890668
404,0.4890766
406,0.4889766
408,0.4890198
410,0.4891016
412,0.4890676
414,0.4891162
416,0.4890874
418,0.489102
420,0.489229
422,0.4893082
424,0.4893198
426,0.4894148
428,0.4894132
430,0.4894454
432,0.4894886
434,0.4894058
436,0.4894454
438,0.4894718
440,0.4894658
442,0.489492
444,0.489518
446,0.4895606
448,0.4896224
450,0.4896676
452,0.4897726
454,0.489862
456,0.4898808
458,0.4899592
460,0.4899312
462,0.4899224
464,0.4899346
466,0.4899246
468,0.4899756
470,0.490083
472,0.4901204
474,0.490086
476,0.4901286
478,0.4900504
480,0.4900788
482,0.4901338
484,0.4901582
486,0.4903044
488,0.490338
490,0.4903286
492,0.4903848
494,0.4903814
496,0.4904358
498,0.490392
500,0.4904096
502,0.490404
504,0.4904792
506,0.4904902
508,0.4905356
510,0.4905798
512,0.4905732
514,0.490608
516,0.4906866
518,0.4906944
520,0.4906342
522,0.490591
524,0.4905742
526,0.490665
528,0.490697
530,0.4905982
532,0.4905602
534,0.4906486
536,0.4907368
538,0.490688
540,0.4907458
542,0.490794
544,0.4908348
546,0.490776
548,0.4907676
550,0.4908472
552,0.4908834
554,0.4908772
556,0.4909262
558,0.4910186
560,0.4910278
562,0.4910938
564,0.491062
566,0.491059
568,0.4910172
